,index,Wine
794,794,Colheita Tinto 2021
795,795,Torre de Menagem Alvarinho - Trajadura 2023
796,796,Colheita Branco 2022
797,797,Colheita Rosé 2022
798,798,Tinto 2020
799,799,Rosé 2021
800,800,Padre Pedro Tinto 2021
801,801,Padre Pedro Branco 2022
802,802,Tinto 2021
803,803,Sauvignon Blanc 2023
804,804,Branco 2018
805,805,Branco 2023
806,806,Reserva Tinto 2019
807,807,Reserva Branco 2022
808,808,Branco 2023
809,809,A Descoberta Rosado 2023
810,810,Douro Rosé 2023
811,811,Dom Martinho Tinto 2021
812,812,Dom Martinho Branco 2023
813,813,A Descoberta Colheita Branco 2023
814,814,A Descoberta Colheita Tinto 2022
815,815,Douro Branco 2023
816,816,Muros Antigos Escolha 2023
817,817,Mar de Lisboa Branco 2022
818,818,Dão Colheita Seleccionada Rose 2023
819,819,Colheita Seleccionada Tinto 2022
820,820,Terroir Expressions 2015
821,821,Terroir Expressions 2017
822,822,Reserva Tinto 2021
823,823,.com Tinto 2023
824,824,Lisboa Tinto 2017
825,825,Douro Tinto 2022
826,826,Em Vinhas Velhas Blanco 2023
827,827,Em Vinhas Velhas Tinto 2021
828,828,Monte das Servas Branco 2022
829,829,Monte das Servas Tinto 2021
830,830,Branco White Blanc Douro 2023
831,831,Penedo do Lexim 2021
832,832,Vinho Verde Rosé 2021
833,833,Cancela de Abreu & Riba d'Ave Tinto 2021
834,834,Branco 2023
835,835,Vale da Calada Blanco 2022
836,836,Vale da Calada Rosé 2022
837,837,Às Claras Branco 2022
838,838,Vale da Calada Tinto 2021
839,839,Às Claras Tinto 2018
840,840,Syrah 2023
841,841,Porta da Calada Branco 2017
842,842,Porta da Calada Tinto 2018
843,843,Alvarinho 2023
844,844,Lilás Branco 2022
845,845,Marquês de Borba Tinto 2023
846,846,Marquês de Borba Branco 2023
847,847,Prova Regia Arinto 2023
848,848,Alma do Tejo Tinto 2020
849,849,Assobio Douro Branco 2023
850,850,Assobio Douro 2022
851,851,Douro Branco (Seco) 2023
852,852,Raposinha Red 2023
853,853,Branco 2022
854,854,Rosé 2022
855,855,Touriga Nacional Rosé Seco 2023
856,856,Porta dos Cavaleiros Dão Branco 2020
857,857,Loureiro 2022
858,858,Colheita Avesso 2023
859,859,Xisto Preto Branco 2023
860,860,Flip 2019
861,861,Branco 2021
862,862,ABCDarium Superior 2023
863,863,Aragonêz Medium Sweet Rosé 2023
864,864,Cabernet Sauvignon 2022
865,865,Bairrada Red 2019
866,866,Douro Tinto 2022
867,867,Mélange à Trois Branco 2023
868,868,Trinca Bolotas Alentejo Tinto 2022
869,869,Arinto 2023
870,870,Mélange à Trois Rosé 2023
871,871,Trinca Bolotas Branco 2023
872,872,Assobio Douro Rosé 2023
873,873,Artefacto Colheita Seleccionada Touriga Nacional 2022
874,874,Bairrada Branco 2022
875,875,Tinto 1492 2022
876,876,Branco 2022
877,877,Tinto 2022
878,878,Expressão Branco 2020
879,879,Vinha da Defesa Branco 2022
880,880,Defesa Tinto 2022
881,881,Douro Tinto 2021
882,882,Catarina Rosé 2023
883,883,Reserva Vinhão 2022
884,884,White Port N.V.
885,885,Catarina Tinto 2021
886,886,Catarina Branco 2023
887,887,Encantado Branco 2023
888,888,Encantado Tinto 2022
889,889,Sauvignon Blanc Branco Seco 2023
890,890,Allo Alvarinho - Loureiro 2023
891,891,Reserva 2021
892,892,Trava Línguas Tinto 2021
893,893,Familia Margaça Vinha do Furo Branco 2022
894,894,Familia Margaça Vinha do Furo Tinto 2022
895,895,QM Loureiro - Alvarinho 2023
896,896,Familia Margaça Vinha do Furo Rosé 2023
897,897,Entre 2 Mares Between Two Seas Alvarinho 2020
898,898,Sauvignon Blanc 2023
899,899,Reserva Encruzado 2023
900,900,Reserva Touriga Nacional 2021
901,901,Douro Tinto 2021
902,902,Douro Branco 2023
903,903,Altitude by Duorum 2021
904,904,Tinto 2022
905,905,Rosé 2021
906,906,Grande Reserva Branco 2023
907,907,Branco 2022
908,908,Grande Reserva Tinto 2020
909,909,Reserva Tinto Blend 2022
910,910,Reserva Branco 2023
911,911,Reserva Tinto 2022
912,912,Muros Antigos Loureiro 2023
913,913,Douro Reserva Branco 2023
914,914,Sílica Branco 2023
915,915,Sílica Tinto 2021
916,916,Tradição Boal 2022
917,917,Sauvignon Blanc 2023
918,918,Sauvignon Blanc 2023
919,919,Quinta de Camarate Branco Dolce 2023
920,920,Quinta De Camarate Branco Seco 2023
921,921,Monte Velho Tinto 2021
922,922,Espumante Bruto Rosé 2021
923,923,Branco 2022
924,924,Branco 2022
925,925,Touriga Nacional 2017
926,926,Quinta do Carqueijal Tinto 2019
927,927,Espumante Bruto 2022
928,928,Quinta do Carqueijal Branco 2022
929,929,Alicante Bouschet 2020
930,930,Antão Vaz - Verdelho 2022
931,931,Touriga Nacional - Syrah 2022
932,932,Syrah 2020
933,933,Branco 2019
934,934,Tinto 2020
935,935,Sauvignon Blanc 2020
936,936,Branco 2021
937,937,Tinto 2020
938,938,Dão Colheita Seleccionada White 2022
939,939,Papa Figos Douro 2022
940,940,Cancela de Abreu & Riba D'Ave Branco 2023
941,941,Herédias Branco 2023
942,942,Branco 2023
943,943,ABCDarium Avesso 2022
944,944,Reserva Tinto 2021
945,945,Rabo de Ovelha Branco 2023
946,946,Maria Gomes Branco 2023
947,947,Sauvignon Blanc 2023
948,948,Dão Branco 2023
949,949,Alvarinho Deu La Deu 2023
950,950,Tyto Alba Rosé 2020
951,951,Flor das Tecedeiras Branco 2023
952,952,Flor das Tecedeiras 2022
953,953,Periquita Reserva 2022
954,954,Montes Claros Reserva 2018
955,955,Dona Ermelinda Reserva Branco 2023
956,956,Chardonnay 2023
957,957,Reserva 2021
958,958,Rosé 2023
959,959,Baga - Touriga Nacional 2022
960,960,Douro Reserva Branco 2023
961,961,Chardonnay - Arinto 2023
962,962,Dão Rótulo Tinto 2020
963,963,Diálogo Branco 2023
964,964,Diálogo Tinto 2021
965,965,Casa Das Infantas 2018
966,966,Arinto 2021
967,967,Alicante Bouschet Colheita Seleccionada 2018
968,968,Alvarinho Reserva 2022
969,969,Sauvignon Blanc 2023
970,970,Branco 2023
971,971,Tinto 2022
972,972,Douro Fabelhaft Tinto 2021
973,973,José de Sousa Alentejano 2021
974,974,Papa Figos Douro Branco 2023
975,975,Papa Figos Rosé 2022
976,976,Reserva Branco 2020
977,977,Reserva Chardonnay 2023
978,978,Reserva Premium Sauvignon Blanc 2023
979,979,Reserva Alicante Bouschet Premium 2022
980,980,Alvarinho 2023
981,981,Vinha do Putto Branco 2017
982,982,Vinha do Putto Tinto 2013
983,983,Touriga Nacional Rosè 2023
984,984,Sauvignon Blanc 2022
985,985,Moscatel Galego Branco 2020
986,986,Reserva Tinto 2021
987,987,Reserva Tinto 2020
988,988,Branco 2023
989,989,Branco 2022
990,990,Monte Velho Reserva Branco 2023
991,991,Piloto Collection Touriga Nacional 2021
992,992,Sauvignon Blanc 2023
993,993,Rosé 2023
994,994,Piloto Collection Síria Branco 2022
995,995,Piloto Collection Cabernet Sauvignon 2021
996,996,Patrão Diogo Lisboa Branco 2021
997,997,Pinot Gris 2022
998,998,Piloto Collection Alfrocheiro 2021
999,999,Tinto 2019
1000,1000,Branco 2021
1001,1001,Verdelho 2022
1002,1002,Tinto 2020
1003,1003,Arinto - Chardonnay 2023
1004,1004,Alvarinho 2022
1005,1005,Reserva Tinto 2022
1006,1006,Moscatel 2022
1007,1007,Gewürztraminer 2023
1008,1008,Chardonnay 2023
1009,1009,Reserva Quartz Branco 2023
1010,1010,Reserva Tinto 2022
1011,1011,Trincadeira Colheita Selecionada 2018
1012,1012,Quinta de Saes Rosé 2023
1013,1013,Quinta de Saes Branco 2023
1014,1014,Dão Álvaro Castro Branco 2022
1015,1015,Reserva Branco 2023
1016,1016,Tinto 2020
1017,1017,Rosé 2023
1018,1018,Aldeia 2021
1019,1019,Branco 2019
1020,1020,Douro Superior 2021
1021,1021,Passa Tinto 2021
1022,1022,Superior 2021
1023,1023,Automatico 2021
1024,1024,Quinta do Côtto Tinto 2019
1025,1025,Automático Branco 2023
1026,1026,Bafarela Reserva 2022
1027,1027,Vinha dos Santos Tinto 2020
1028,1028,Palha Canas Tinto 2019
1029,1029,Tinto 2021
1030,1030,Touriga Nacional em Rosé 2023
1031,1031,Branco 2022
1032,1032,Carlos Reynolds Branco 2023
1033,1033,Rosé 2023
1034,1034,Reserva 2021
1035,1035,Invincible Number Um Branco 2023
1036,1036,Arinto Branco 2022
1037,1037,Rosé 2022
1038,1038,Invincible Number Um Tinto 2021
1039,1039,Alicante Bouschet Colheita Seleccionada 2019
1040,1040,Artefacto Colheita Seleccionada Touriga Nacional 2021
1041,1041,Syrah Colheita Seleccionada 2019
1042,1042,Nosso Terroir Branco 2023
1043,1043,Vinha dos Santos Branco 2023
1044,1044,Douro Superior Branco 2023
1045,1045,Douro Superior 2022
1046,1046,Alabastro Reserva 2019
1047,1047,Reserva Touriga Nacional 2018
1048,1048,Touriga Nacional Colheita Seleccionada 2018
1049,1049,Viosinho 2019
1050,1050,Estate Collection Tinto 2016
1051,1051,Sommelier Edition Rosé 2022
1052,1052,Alentejano Rosé 2022
1053,1053,Reserva Tinto 2021
1054,1054,Colheita Seleccionada Branco 2022
1055,1055,Reserva Branco 2022
1056,1056,Reserva Arinto 2022
1057,1057,Quatro Ventos Superior 2019
1058,1058,Terras do Demo Touriga Nacional 2022
1059,1059,Terras do Demo Touriga Franca Tinto Bruto 2022
1060,1060,Mar da Palha Sauvignon Blanc 2023
1061,1061,Quinta da Calçada Alvarinho Terroir 2023
1062,1062,Colheita Selectionada Antão Vaz 2020
1063,1063,Reserva Arinto - Chardonnay 2023
1064,1064,Sommelier Edition Sauvignon Blanc 2023
1065,1065,Argilla Tinto 2019
1066,1066,Nosso Terroir 2022
1067,1067,Moscatel Galego Branco 2023
1068,1068,Chardonnay 2023
1069,1069,Dão Escolha 2018
1070,1070,Vidigueira 2022
1071,1071,Monólogo Chardonnay P706 2022
1072,1072,Caladessa Tinto 2020
1073,1073,Monólogo Avesso P67 2023
1074,1074,Monólogo Arinto P24 2022
1075,1075,Caladessa Branco 2018
1076,1076,Xisto Preto Reserva 2020
1077,1077,Andreza Reserva Branco 2023
1078,1078,Grand Cuveé Brut Milésime 2020
1079,1079,Terras Do Pó Reserva 2021
1080,1080,Baga Bairrada Reserva Rosé Bruto 2021
1081,1081,Dez Tostões Rosé 2023
1082,1082,Abanico Reserva Branco 2022
1083,1083,Abanico Reserva 2020
1084,1084,Tapada Nova Pet-Nat 2022
1085,1085,Tyto Alba Branco 2020
1086,1086,Reserva 2020
1087,1087,Douro Branco 2021
1088,1088,Entre II Santos Tinto 2013
1089,1089,Entre II Santos Branco 2019
1090,1090,Pasmados Branco 2020
1091,1091,Sommelier Edition Tinto 2021
1092,1092,Tinto 2022
1093,1093,Tinto 2009
1094,1094,Branco 2022
1095,1095,Arinto Reserva 2021
1096,1096,Monte do Zambujeiro 2023
1097,1097,Baga Reserva 2019
1098,1098,Solos de Granito Alvarinho 2022
1099,1099,Tinto 2019
1100,1100,Casal da Azenha Branco 2019
1101,1101,Douro White 2022
1102,1102,Douro Dourosa Red 2019
1103,1103,Reserva Touriga Nacional 2019
1104,1104,Três Bagos Reserva Branco 2018
1105,1105,Reserva Cabernet Sauvignon 2018
1106,1106,Reserva Syrah 2019
1107,1107,Reserva Pinot Noir 2020
1108,1108,Reserva Branco 2020
1109,1109,Reserva Merlot 2019
1110,1110,Bairrada Reserva Bruto 2021
1111,1111,Rosé 2023
1112,1112,Maria Mansa Douro Tinto 2021
1113,1113,Alvarinho 2023
1114,1114,Branco (Loureiro) 2023
1115,1115,Trincadeira Reserva 2021
1116,1116,Pios Tinto 2015
1117,1117,Carménère Reserva 2022
1118,1118,Sauvignon Blanc 2023
1119,1119,Piloto Collection Roxo Branco 2023
1120,1120,Branco 2023
1121,1121,Contraste Branco 2022
1122,1122,Contraste Rosé 2021
1123,1123,Syrah Reserva 2021
1124,1124,Encruzado 2023
1125,1125,Rosé 2022
1126,1126,Castelão 2020
1127,1127,Cimento 2021
1128,1128,Rosé 2023
1129,1129,Contraste Tinto 2021
1130,1130,Ninfa 2017
1131,1131,Dão Reserva 2018
1132,1132,Dão Reserva Branco 2023
1133,1133,Moscatel Galego Branco Atlântico 2019
1134,1134,Branco 2020
1135,1135,Três Bagos Reserva Branco 2022
1136,1136,Prima 2023
1137,1137,Sommelier Edition Branco 2023
1138,1138,Pinot Noir - Merlot Rosé 2023
1139,1139,Alvarinho 2022
1140,1140,Touriga Franca 2021
1141,1141,Cabernet Sauvignon 2022
1142,1142,Tinto 2021
1143,1143,Branco 2023
1144,1144,Pinot Noir Rosé 2023
1145,1145,Petit Verdot 2019
1146,1146,Arinto 2020
1147,1147,Sauvignon Blanc 2022
1148,1148,Viognier 2021
1149,1149,Riesling 2020
1150,1150,Touriga Nacional 2021
1151,1151,Castelão 2018
1152,1152,Chardonnay 2023
1153,1153,Viosinho 2022
1154,1154,Merlot 2022
1155,1155,EA Reserva Tinto 2021
1156,1156,Rosé 2023
1157,1157,Touriga Nacional Dão 2019
1158,1158,Bical Reserva Branco 2021
1159,1159,Mar do Inferno Arinto Atlântico 2023
1160,1160,Alvarinho 2022
1161,1161,Colheita Rosé 2022
1162,1162,Naked Pinot Noir Rosé 2023
1163,1163,Quinta da Garrida Reserva Tinto 2016
1164,1164,Alicante Bouschet Reserva 2022
1165,1165,Reserva da Família Branco 2022
1166,1166,Douro Rosé 2020
1167,1167,Bruto Maria Gomes N.V.
1168,1168,GWT 2023
1169,1169,Merlot Reserva 2022
1170,1170,Douro Tinta Barroca 2022
1171,1171,Colheita Tinto 2021
1172,1172,Colheita Branco 2023
1173,1173,Cabernet Sauvignon Reserva 2021
1174,1174,Touriga Nacional Reserva 2021
1175,1175,Sauvignon Blanc - Verdelho 2023
1176,1176,Alvarinho 2023
1177,1177,Pinot Noir Reserva 2021
1178,1178,Sauvignon Blanc 2017
1179,1179,Pinot Grigio 2017
1180,1180,Pinot Noir Rosé 2016
1181,1181,Arinto 2017
1182,1182,Alvarinho 2017
1183,1183,Grande Trinca Bolotas 2021
1184,1184,Brut Nature 2021
1185,1185,Alentejano Branco 2023
1186,1186,Branco 2020
1187,1187,Arinto 2022
1188,1188,Viosinho 2022
1189,1189,Alvarinho 2021
1190,1190,Syrah 2022
1191,1191,Minas 2022
1192,1192,Anel Branco 2023
1193,1193,Anel Reserva 2022
1194,1194,Quinta de Saes Tobias Cerceal Branco 2023
1195,1195,Quinta de Saes Tobias Tinto 2020
1196,1196,Quinta da Mimosa Palmela 2022
1197,1197,Morgadio da Torre Alvarinho 2023
1198,1198,Beiras Vinhas Velhas Branco 2023
1199,1199,Quinta de San Joanne Terroir Mineral Branco 2021
1200,1200,Elegance Rosé de Pinot Noir 2022
1201,1201,QM Rosé 2023
1202,1202,Quinta de Vale Veados 2020
1203,1203,Apelido Tinto 2020
1204,1204,Vila Santa Reserva Branco 2022
1205,1205,Reserva Tinto 2021
1206,1206,Rosé 2023
1207,1207,Branco 2023
1208,1208,Branco 2023
1209,1209,Colheita Branco 2022
1210,1210,Lote Especial Branco 2022
1211,1211,Superior Branco 2023
1212,1212,Baga Brut Rosé 2019
1213,1213,Superior Tinto 2021
1214,1214,Lote 3 Tinto 2022
1215,1215,Lote 3 Rosé 2022
1216,1216,Lote 3 Branco 2023
1217,1217,Homenagem Reserva 2019
1218,1218,Familia Margaça Reserva 2021
1219,1219,Família Margaça Reserva Branco 2021
1220,1220,Branco 2023
1221,1221,Pelludo Coleção Uvelhas Negras 2020
1222,1222,Tinto 2022
1223,1223,Bruto 2018
1224,1224,Domingos Soares Franco Colecção Privada Riesling 2022
1225,1225,Domingos Soares Franco Colecção Privada Verdelho 2022
1226,1226,Alentejo Dom Rafael Branco 2023
1227,1227,Domingos Soares Franco Colecção Privada Moscatel Roxo Rosé 2023
1228,1228,Alentejo Dom Rafael Tinto 2021
1229,1229,Baga Blanc de Noirs Bruto 2019
1230,1230,Crasto Rosé 2023
1231,1231,Crasto Branco 2023
1232,1232,Crasto Red 2021
1233,1233,Caladessa Syrah 2021
1234,1234,Tinto 2019
1235,1235,Colheita Branco 2023
1236,1236,Raio de Luz Tinto 2022
1237,1237,Raio de Luz Blanc 2022
1238,1238,Terroir Rosé 2023
1239,1239,M.I. Branco 2023
1240,1240,Alvarinho 2021
1241,1241,Terroir Tinto 2020
1242,1242,Bruto Natural Rosé 2022
1243,1243,Sauvignon Blanc 2023
1244,1244,Chardonnay 2023
1245,1245,Terroir Branco 2023
1246,1246,M.I. Tinto 2020
1247,1247,Monte da Vinha Sauvignon Blanc 2023
1248,1248,Tyto Alba Tinto 2019
1249,1249,Touriga Nacional 2020
1250,1250,Pithoi Bianco 2022
1251,1251,Terre dei Grifi Frascati Secco 2022
1252,1252,Club Trebbiano d'Abruzzo 2022
1253,1253,Pithoi Nero d'Avola 2022
1254,1254,Pithoi Bianco 2023
1255,1255,Bianco 2022
1256,1256,Soave 2023
1257,1257,Custoza 2023
1258,1258,Cabernet 2023
1259,1259,Negroamaro 2023
1260,1260,Colle Cavalieri Chardonnay Terre di Chieti 2021
1261,1261,Club Cerasuolo d'Abruzzo Rosé 2022
1262,1262,Frappato 2022
1263,1263,Nerello Mascalese 2022
1264,1264,Nero d'Avola 2021
1265,1265,Greco di Tufo 2021
1266,1266,Rosso Degli Scudi Syrah 2023
1267,1267,Bianco Degli Scudi Grillo 2023
1268,1268,Rosso degli Scudi Nero d'Avola 2023
1269,1269,Colle Cavalieri Trebbiano d'Abruzzo 2020
1270,1270,Syrah 2023
1271,1271,Grillo 2023
1272,1272,Pecorino 2021
1273,1273,Passerina 2021
1274,1274,Müller Thurgau 2023
1275,1275,Terre Sabelli Trebbiano d'Abruzzo 2020
1276,1276,Terre Sabelli Chardonnay 2020
1277,1277,I Versi Rosso 2019
1278,1278,Toscana di Novello 2023
1279,1279,Primo Sangiovese - Merlot 2023
1280,1280,Collezione Cabernet 2020
1281,1281,Primitivo 2023
1282,1282,Invidia Abruzzo Passerina 2020
1283,1283,Collezione Beatrice Soave 2023
1284,1284,Syrah 2018
1285,1285,Vicenne Trebbiano d’Abruzzo 2020
1286,1286,Morandium Chardonnay 2019
1287,1287,Club Chardonnay 2023
1288,1288,Passerina 2020
1289,1289,Insolia 2021
1290,1290,Chardonnay 2023
1291,1291,Colle Secco Trebbiano d'Abruzzo 2020
1292,1292,Trebbiano d'Abruzzo 2020
1293,1293,Cerasuolo d'Abruzzo 2020
1294,1294,Cuvée 21 Dolce Millesimato 2022
1295,1295,Montepulciano d’Abruzzo  2022
1296,1296,Shiraz 2022
1297,1297,Nero d'Avola 2023
1298,1298,Ca'Preella Pinot Grigio 2019
1299,1299,Ducaminimo Trebbiano d'Abruzzo 2022
1300,1300,Peladi Cerasuolo d'Abruzzo 2019
1301,1301,Feudo Croce Amarosé Negroamaro Rosato 2019
1302,1302,Collezione Nero d'Avola 2023
1303,1303,Pecorino 2020
1304,1304,Trebbiano d'Abruzzo 2020
1305,1305,Centènus Selection Tènus 2022
1306,1306,Terre Sabelli  Pecorino Terre di Chieti 2020
1307,1307,With Love Pecorino 2023
1308,1308,With Love BBQ & Bistecca Syrah 2023
1309,1309,With Love Sauvignon 2023
1310,1310,Masseria Surani Arthemis Fiano 2019
1311,1311,Lyrícus Verdicchio dei Castelli di Jesi Classico 2019
1312,1312,Club Pinot Grigio 2022
1313,1313,Club Pecorino 2022
1314,1314,Vermentino di Sardegna 2023
1315,1315,Garganega Veronese 2023
1316,1316,Castelli Romani Rosso 2022
1317,1317,Soave 2023
1318,1318,Castelli Romani Bianco 2023
1319,1319,Collezione Cabernet 2021
1320,1320,Collezione Primitivo 2023
1321,1321,Cuvée Spumante Brut 
1322,1322,Villa Adami Pinot Grigio Terre di Chieti 2020
1323,1323,Villa Adami Trebbiano d'Abruzzo 2020
1324,1324,Villa  Adami Falanghina Terre di Chieti 2020
1325,1325,Cleofe 2019
1326,1326,Collezione Beatrice Soave 2022
1327,1327,L'Agreste Conero Rosso 2022
1328,1328,Greco di Vignanello 2021
1329,1329,Cantine San Giorgio Kleio Negroamaro Rosato Salento 2019
1330,1330,Bardolino 2022
1331,1331,Trebbiano d'Abruzzo 2020
1332,1332,Refosco dal Peduncolo Rosso 2023
1333,1333,Chianti 2023
1334,1334,Tareni Frappato 2022
1335,1335,Cabernet 2023
1336,1336,Pinot Grigio 2023
1337,1337,OltreMare Rosato 2020
1338,1338,Le Vie del Mare Rosato 2021
1339,1339,Kore Nero d'Avola 2023
1340,1340,Custoza Bianco 2023
1341,1341,Roceno Grillo 2023
1342,1342,Roceno Grecanico 2023
1343,1343,Corvo 2022
1344,1344,Barbera 2023
1345,1345,Spiria Cococciola 2022
1346,1346,Aureliana  Gavi 2021
1347,1347,Merlot 2022
1348,1348,Chardonnay 2021
1349,1349,Antura Nero d'Avola 2022
1350,1350,Corvina Veronese 2020
1351,1351,Frentano Cerasuolo d'Abruzzo 2022
1352,1352,Seiano Bianco 2022
1353,1353,People Frascati Superiore 2023
1354,1354,Kore Chardonnay 2023
1355,1355,Antura Grillo 2023
1356,1356,Così Chianti Biologico 2022
1357,1357,Filarino Sangiovese Rosato 2020
1358,1358,Ashè Trebbiano d'Abruzzo 2020
1359,1359,Cirò Rosso Classico 2022
1360,1360,Riflessi Rosso 2023
1361,1361,Vicenne Trebbiano d’Abruzzo 2023
1362,1362,Vicenne Cerasuolo d'Abruzzo 2023
1363,1363,Cabernet Franc 2022
1364,1364,Piane di Maggio Cerasuolo d'Abruzzo Rosè 2020
1365,1365,Bouquet Rosato 2021
1366,1366,Orus Negroamaro 2020
1367,1367,Pecorino 2020
1368,1368,Poesia Etna Rosato 2020
1369,1369,Pinot Nero 2022
1370,1370,Malvasia 2022
1371,1371,Friulano 2023
1372,1372,Ortrugo Frizzante 2023
1373,1373,Prosecco Extra Dry 2023
1374,1374,Ribolla Gialla 2023
1375,1375,Refosco dal Penduncolo Rosso 2022
1376,1376,Pinot Grigio Delle Venezie 2023
1377,1377,Pignoletto Secco 1968
1378,1378,Glicine Rosso 2022
1379,1379,Vermentino Salento Bianco 2023
1380,1380,Negroamaro Salento Rosato 2023
1381,1381,Colafogo Soave 2021
1382,1382,Linea Monteselva Cerasuolo d'Abruzzo Rosé 2020
1383,1383,Valle d'Oro Cerasuolo d'Abruzzo 2020
1384,1384,Passerina Terre di Chieti 2021
1385,1385,Kubìla Bianco 2023
1386,1386,Chardonnay 2023
1387,1387,Fuori Legge Bianco 2019
1388,1388,Tre Trebbiano d'Abruzzo 2021
1389,1389,Pecorino 2020
1390,1390,Castel del Monte Bolonero 2020
1391,1391,Luzano Verdicchio dei Castelli di Jesi Classico Superiore 2023
1392,1392,Vignolè Falanghina del Sannio 2022
1393,1393,Vedetta Del Re Custoza 2023
1394,1394,Terre dei Grifi Frascati Secco 2023
1395,1395,Due Mondi Nero d'Avola 2023
1396,1396,Fiano 2023
1397,1397,Ca'Preella Bardolino 2023
1398,1398,Merlot 2023
1399,1399,Cuvée 21 Dolce Millesimato 2023
1400,1400,Due Mondi Cabernet Sauvignon - Nero d'Avola 2022
1401,1401,Due Mondi Syrah 2022
1402,1402,Scantianum  Sangiovese 2023
1403,1403,Greco 2023
1404,1404,Brolo Alto Rosé 2023
1405,1405,C'Era Una Volta Il Riesling 2023
1406,1406,Le Terre dell'Abate Montepulciano d'Abruzzo 2018
1407,1407,Chianti 2023
1408,1408,Chianti 2023
1409,1409,Buon Governo Toscana Governo all'uso 2022
1410,1410,Butterfly Millesimato Prosecco Rosé 2023
1411,1411,Grillo 2023
1412,1412,Roceno Syrah 2022
1413,1413,Montepulciano d'Abruzzo 2021
1414,1414,Catarratto - Pinot Grigio 2022
1415,1415,Merlot 2022
1416,1416,Sensale Nero d'Avola 2022
1417,1417,Corte Alla Luna Cesanese di Olevano Romano 2021
1418,1418,i Quercioli Lambrusco di Sorbara Secco N.V.
1419,1419,Terre di Sole Bianco 2021
1420,1420,Nǐvéus Sauvignon - Garganega 2023
1421,1421,Fantini Montepulciano d'Abruzzo 2022
1422,1422,Costa del Mulino Abruzzo Passerina 2022
1423,1423,Alianto Pecorino 2022
1424,1424,Müller Thurgau - Traminer Extra Dry 2023
1425,1425,Pinot Nero Extra Brut Millesimato 2023
1426,1426,Arbòreo Trebbiano d’Abruzzo 2023
1427,1427,Arbòreo Cerasuolo d'Abruzzo 2021
1428,1428,Aglianico 2021
1429,1429,Nero d'Avola 2022
1430,1430,Quattro Borghi Grecanico 2022
1431,1431,Pinot Noir Extra Dry 2021
1432,1432,Il Principe Nero d'Avola 2022
1433,1433,C'Era Una Volta Il Buttafuoco 2021
1434,1434,Syrah 2021
1435,1435,Doriz  Pecorino 2021
1436,1436,Merlot 2021
1437,1437,I Scuri Merlot 2021
1438,1438,Nero d'Avola 2021
1439,1439,Intrigànte Catarratto 2021
1440,1440,Molino a Vento Grillo 2023
1441,1441,Villa Solais Vermentino di Sardegna 2023
1442,1442,Val dei Molini Custoza 2023
1443,1443,Syrah 2020
1444,1444,Pepito's Bianco 2022
1445,1445,Molino a Vento Syrah 2023
1446,1446,Aglianico 2022
1447,1447,Aglianico 2023
1448,1448,Grillo 2022
1449,1449,Grillo 2023
1450,1450,Grillo 2023
1451,1451,Podere Dogliani 2023
1452,1452,Roceno Syrah 2023
1453,1453,Cabernet Sauvignon 2023
1454,1454,Pian di Rémole Rosso 2020
1455,1455,Cerasuolo d'Abruzzo 2021
1456,1456,Merlot 2021
1457,1457,Meraner Burggräfler 2023
1458,1458,Pecorino 2019
1459,1459,Liberamente Trebbiano d'Abruzzo 2019
1460,1460,Bio Gavi del Comune di Gavi 2021
1461,1461,Riseis Pecorino 2020
1462,1462,Nero di Troia Puglia 2021
1463,1463,Ca'Preella Soave 2023
1464,1464,Roceno Inzolia 2023
1465,1465,Acquerello Grillo - Sauvignon Blanc 2021
1466,1466,Cannonau di Sardegna 2023
1467,1467,Fiano 2023
1468,1468,Roceno Viognier 2023
1469,1469,Merlot Montello e Colli Asolani 2020
1470,1470,Roceno Nerello Mascalese Rosé 2023
1471,1471,Cerasuolo d'Abruzzo Rose Biologico 2023
1472,1472,Roceno Nerello Mascalese 2023
1473,1473,Pinot Grigio 2023
1474,1474,Molino a Vento Grillo 2022
1475,1475,Opere Verdicchio dei Castelli di Jesi 2019
1476,1476,Pecorino 2020
1477,1477,Pecorino 2020
1478,1478,Bardolino 2021
1479,1479,Furfante Frizzante Rosé 
1480,1480,Bardolino Classico 2020
1481,1481,Bardolino 2023
1482,1482,Millenovecentodieci Primitivo 2022
1483,1483,Cannonau di Sardegna 2019
1484,1484,Syrah 2023
1485,1485,Villa Maina Malvasia 2023
1486,1486,Maremosso Bianco Frizzante 2023
1487,1487,Sauvignon Blanc 2023
1488,1488,Friulano 2023
1489,1489,Riflessi Bianco 2023
1490,1490,Le Sorbole 2023
1491,1491,Tareni del Duca Nero d'Avola 2023
1492,1492,Chronicon Cerasuolo d'Abruzzo 2021
1493,1493,Chardonnay 2023
1494,1494,Quattro Borghi Inzolia - Viognier 2023
1495,1495,Quattro Borghi Nero d'Avola 2022
1496,1496,Quattro Borghi Syrah 2023
1497,1497,Nero d'Avola Bio 2022
1498,1498,Terre di Val Bona Verdicchio di Matelica 2022
1499,1499,L'Agreste Verdicchio dei Castelli di Jesi Classico Superiore 2022
1500,1500,Norie Negroamaro 2021
1501,1501,Ùle (volo) Syrah 2023
1502,1502,Ribolla Gialla Collio 2023
1503,1503,Le Rime (Pinot Grigio - Chardonnay) 2023
1504,1504,Romos Roma Bianco 2023
1505,1505,Piazza del Cielo Zagarolo Bianco 2022
